Q8MSI2_DROME	Q8MSI2	FBgn0020908	Scp1
O62536_DROME	O62536	FBgn0021761	Nup154
HCD2_DROME	O18404	FBgn0021765	scu
"Q9VQ28_DROME,Q9VQ29_DROME"	Q9VQ29	FBgn0021906	RFeSP
HEM6_DROME	Q9V3D2	FBgn0021944	Coprox
Q8MLS7_DROME	Q8MLS7	FBgn0021979	l(2)k09913
EIF3H_DROME	Q9U9Q4	FBgn0022023	eIF-3p40
Q7K569_DROME	Q7K569	FBgn0022160	Gpo-1
Q9V9U3_DROME	Q9V9U3	FBgn0022349	
Q9VWV6_DROME	Q9VWV6	FBgn0022355	Tsf1
Q95RR6_DROME	Q95RR6	FBgn0022361	Pur-alpha
KAPR2_DROME	P81900	FBgn0022382	Pka-R2
O18387_DROME	O18387	FBgn0022699	D19B
Q8IQG9_DROME	Q8IQG9	FBgn0022709	Adk1
O16039_DROME	O16039	FBgn0022710	Ac13E
OAT_DROME	Q9VW26	FBgn0022774	Oat
NCBP1_DROME	Q7K4N3	FBgn0022942	Cbp80
O46173_DROME	O46173	FBgn0022959	yps
Q95RE4_DROME	Q95RE4	FBgn0022959	yps
Q0E8P6_DROME	Q0E8P6	FBgn0023096	btv
Q8T0L3_DROME	Q8T0L3	FBgn0023143	Uba1
Q9VUJ1_DROME	Q9VUJ1	FBgn0023174	Prosbeta2
PSA3_DROME	Q9V5C6	FBgn0023175	Prosalpha7
A8DZ29_DROME	A8DZ29	FBgn0023213	eIF4G1
O61618_DROME	O61618	FBgn0023388	Dap160
Q24593_DROME	Q24593	FBgn0023458	Rbcn-3A
Q8T0I5_DROME	Q8T0I5	FBgn0023479	teq
Q9VSU2_DROME	Q9VSU2	FBgn0023479	teq
DGC14_DROME	O44424	FBgn0023506	Es2
O46096_DROME	O46096	FBgn0023507	D2hgdh
Q9W543_DROME	Q9W543	FBgn0023510	Rbcn-3B
O46067_DROME	O46067	FBgn0023529	EG:25E8.1
CCDCX_DROME	Q7KW14	FBgn0023531	
MMSA_DROME	Q7KW39	FBgn0023537	
Q9NGX8_DROME	Q9NGX8	FBgn0024179	wit
GUF1_DROME	Q9VRH6	FBgn0024182	waw
Q9V426_DROME	Q9V426	FBgn0024183	vig
JIP3_DROME	Q9GQF1	FBgn0024187	syd
Q9V4Y0_DROME	Q9V4Y0	FBgn0024189	sns
IKKB_DROME	Q9VEZ5	FBgn0024222	ird5
O61604_DROME	O61604	FBgn0024238	Fim
Q7KY09_DROME	Q7KY09	FBgn0024277	trio
